@id,@lon,@lat,name
293004369,21.4169421,42.0127687,
293004370,21.4162419,42.0128049,
293004372,21.4155228,42.0127644,
293004373,21.4147595,42.0125977,
293004374,21.4139869,42.0122967,
293004375,21.4132371,42.0118039,
293004377,21.4126103,42.0114187,
293004378,21.4117686,42.0110972,
293004379,21.4108956,42.0109472,
293004380,21.4101380,42.0109238,
293004381,21.4092078,42.0110409,
293004383,21.4081669,42.0113451,
293004384,21.4075036,42.0115447,
293004385,21.4065303,42.0118368,
293663059,21.4054560,42.0121710,
293663060,21.4047163,42.0124012,
293663061,21.4041221,42.0125404,
293663062,21.4033147,42.0126326,
293663063,21.4025787,42.0126258,
293663064,21.4016238,42.0124883,
293663065,21.4008712,42.0122742,
293663066,21.4000360,42.0119143,
293663067,21.3995038,42.0115955,
293663068,21.3988237,42.0111056,
293663069,21.3981113,42.0105623,
293663070,21.3975672,42.0101937,
293663071,21.3967631,42.0098158,
293663072,21.3962063,42.0096392,
293663073,21.3960237,42.0095956,
293663074,21.3953329,42.0095673,
293663075,21.3951116,42.0095112,
293663076,21.3948746,42.0094521,
293663077,21.3947265,42.0094254,
293663078,21.3943357,42.0094267,
293663079,21.3937905,42.0094695,
293663080,21.3933173,42.0095434,
293663081,21.3923734,42.0097935,
293663082,21.3899991,42.0104954,
293663083,21.3895823,42.0106525,
293663084,21.3890520,42.0109174,
293663085,21.3881059,42.0114742,
293663086,21.3872711,42.0119555,
293663087,21.3866362,42.0122231,
293663088,21.3861231,42.0123418,
293663089,21.3854850,42.0123984,
293663090,21.3849611,42.0123648,
293663091,21.3846416,42.0123126,
293663092,21.3843097,42.0122254,
293663093,21.3837033,42.0119871,
293663094,21.3833433,42.0117421,
293663095,21.3829389,42.0113733,
293663096,21.3826497,42.0109556,
293663097,21.3824071,42.0103511,
293663098,21.3818274,42.0088781,
293663100,21.3811201,42.0074919,
303018220,21.4116202,42.0000064,
303018643,21.4114909,41.9994764,
309875266,21.4359660,41.9940360,
309883889,21.4109819,41.9927229,
309883890,21.4115513,41.9922035,
309883892,21.4117856,41.9919913,
309883957,21.4168828,41.9879546,
309884027,21.4122201,41.9913782,
309884028,21.4122939,41.9912171,
309884029,21.4123031,41.9911249,
309884030,21.4122372,41.9910783,
309884031,21.4121342,41.9911294,
309884032,21.4120285,41.9912720,
309884033,21.4119318,41.9913925,
309884034,21.4118177,41.9914916,
309884035,21.4116512,41.9915692,
309884036,21.4115707,41.9915752,
309884037,21.4114285,41.9915241,
309884740,21.4095989,41.9923117,
309884741,21.4076774,41.9922614,
309884743,21.4075509,41.9921628,
309888579,21.4260478,41.9909331,
309888768,21.4177726,41.9863569,
309888772,21.4171899,41.9863523,
309888773,21.4168614,41.9863778,
309888774,21.4165532,41.9864609,
309888775,21.4161092,41.9866304,
309888776,21.4158770,41.9867994,
309888777,21.4155902,41.9870383,
309888778,21.4154148,41.9872853,
309888779,21.4153129,41.9875365,
309888780,21.4152772,41.9877374,
309888781,21.4153111,41.9878579,
309888841,21.4150728,41.9877601,
309888842,21.4149205,41.9877068,
309888843,21.4147521,41.9876461,
309888844,21.4145061,41.9875289,
309888845,21.4115708,41.9864677,
309925442,21.4154557,41.9943313,
309928190,21.4174659,41.9940883,
310292882,21.4279355,41.9909412,
310292917,21.4285074,41.9916079,
310293422,21.4266043,41.9847000,
314894487,21.4362510,41.9911135,
314894534,21.4364389,41.9906715,
314894535,21.4366879,41.9902058,
314894536,21.4372840,41.9889646,
314894598,21.4370092,41.9896052,
314894645,21.4387173,41.9897310,
314894666,21.4384497,41.9900953,
314894668,21.4380727,41.9899967,
316924687,21.4376423,41.9921627,
316924688,21.4378937,41.9920781,
316924874,21.4373413,41.9925000,
316924910,21.4370950,41.9923903,
316924915,21.4355071,41.9916503,
321404860,21.4471637,41.9930928,
321513864,21.4387280,41.9943224,
321513865,21.4394418,41.9943134,
321524555,21.4402533,41.9886733,
321524645,21.4411331,41.9882167,
330142226,21.4213905,41.9952021,
330259557,21.4437595,41.9879803,
330264638,21.4383414,41.9759582,
330282556,21.4266333,41.9845880,
330282558,21.4267194,41.9844636,
330282559,21.4269597,41.9843390,
330282560,21.4297022,41.9836521,
330282561,21.4304086,41.9833905,
330282562,21.4311049,41.9829295,
330282564,21.4321944,41.9811924,
330283971,21.4255111,41.9863728,
330283974,21.4228150,41.9867007,
330283975,21.4215688,41.9865491,
330283976,21.4206072,41.9864814,
330283977,21.4203014,41.9865279,
330374047,21.4254388,41.9977740,
330374184,21.4265842,41.9977442,
330380719,21.4098249,41.9936210,
330380803,21.4097319,41.9932816,
330380828,21.4093074,41.9936635,
331387449,21.4408140,41.9957207,
331387968,21.4321563,41.9942232,
331389591,21.4178037,41.9960090,
331389596,21.4169826,41.9958004,
331391820,21.4434922,41.9936935,
331391822,21.4463281,41.9933104,
331391991,21.4466563,41.9932560,
348014586,21.4307780,41.9957636,
348014587,21.4318001,41.9966958,
348014589,21.4318988,41.9967771,
348014603,21.4327648,41.9962599,
348014605,21.4315616,41.9954726,
348014606,21.4314202,41.9953870,
348014607,21.4313151,41.9953715,
348015071,21.4307640,41.9958573,
348015093,21.4308668,41.9956699,
348015137,21.4311872,41.9954008,
348015210,21.4317183,41.9955691,
348015398,21.4319734,41.9951622,
358090001,21.4207885,41.9905775,
358090007,21.4190597,41.9907064,
358090020,21.4179294,41.9907642,
358090021,21.4169724,41.9905417,
358090022,21.4165842,41.9904394,
358090023,21.4159875,41.9903662,
358090025,21.4157817,41.9904004,
358090030,21.4155503,41.9904346,
358090036,21.4133865,41.9908051,
365291176,21.4357034,41.9912614,
365291177,21.4354164,41.9916021,
365291209,21.4354109,41.9913700,
365291210,21.4350899,41.9917511,
365291273,21.4340322,41.9924014,
365291274,21.4348186,41.9927473,
365291275,21.4347197,41.9928715,
365291276,21.4345446,41.9927945,
365291277,21.4344092,41.9929647,
365291279,21.4337978,41.9926958,
365291329,21.4350782,41.9925152,
365291342,21.4351597,41.9927065,
365298066,21.4147621,41.9937304,
365298068,21.4114919,41.9941515,
365825806,21.4146577,41.9905678,
365826273,21.4156045,41.9916491,
365826275,21.4173443,41.9914136,
365826488,21.4168606,41.9914844,
365826490,21.4164614,41.9904135,
365838021,21.4188165,41.9834845,
365838023,21.4190631,41.9833544,
365838025,21.4192834,41.9833177,
365838029,21.4196897,41.9833224,
